City,Country
6thOctoberCity,Egypt
Aachen,Germany
Aalborg,Denmark
Aarhus,Denmark
Abeokuta,Nigeria
Aberdeen,Scotland
Abidjan,Côted'Ivoire
AbuDhabi,UnitedArabEmirates
Abuja,Nigeria
Abyan,Yemen
Abymes,Guadeloupe
Accra,Ghana
Achnas,Cyprus
Adana,Turkey
AddisAbaba,Ethiopia
AddisAbeba,Ethiopia
Adelaide,Australia
Aden,Yemen
Aguascalientes,Mexico
Agueda,Portugal
Aix-En-Provence,France
Aix-Les-Bains,France
Ajaccio,France
AlAinCity,UnitedArabEmirates
AlJahra,Kuwait
AlMuharraq,Bahrain
AlRam,Palestine
AlRayyan,Qatar
Alajuela,CostaRica
Albacete,Spain
Albufeira,Portugal
Albuquerque,USA
Alcochete,Portugal
Aleppo,Syria
Alexandria,Egypt
Algiers,Algeria
Alicante,Spain
Almaty,Kazakhstan
Almeria,Spain
Altach,Austria
Altenkirchen,Germany
AlvercaDoRibatejo,Portugal
Amadora,Portugal
Ambato,Ecuador
Amiens,France
Amman,Jordan
Amsterdam,Netherlands
Ancona,Italy
AndorraLaVella,Andorra
Anif,Austria
Ankara,Turkey
Annaba,Algeria
Antalya,Turkey
Antananarivo,Madagascar
Antofagasta,Chile
Antwerp,Belgium
Apia,Samoa
Arbil,Iraq
Arequipa,Peru
Arica,Chile
Arles,France
Arlington,USA
Arnhem,Netherlands
Arusha,Tanzania
Ashgabat,Turkmenistan
Asmara,Eritrea
Astana,Kazakhstan
Asuncion,Paraguay
Aswan,Egypt
Athens,Greece
Atlanta,USA
Atteridgeville,SouthAfrica
Aubervilliers,France
Auckland,NewZealand
Auxerre,France
Aveiro,Portugal
Avignon,France
Ayutthaya,Thailand
Ba,Fiji
Babahoyo,Ecuador
Bacolod,Philippines
Badajoz,Spain
Baghdad,Iraq
Bahrain,Bahrain
Bakau,Gambia
Baku,Azerbaijan
Balkanabat,Turkmenistan
Bamako,Mali
Bandung,Indonesia
Bangalore,India
Bangkok,Thailand
Bangui,CentralAfricanRepublic
Banjul,Gambia
Barcelona,Spain
Barcelos,Portugal
Bari,Italy
Barinas,Venezuela
Barotac,Philippines
Barquisimeto,Venezuela
Barranquilla,Colombia
Barysaw,Belarus
Basel,Switzerland
Basseterre,St.KittsandNevis
BastiaUmbra,Italy
Bata,EquatorialGuinea
Bayamon,PuertoRico
Bayreuth,Germany
Beijing,ChinaPR
Beira,Mozambique
Beirut,Lebanon
Belchatow,Poland
Belek,Turkey
Belem,Brazil
Belfast,NorthernIreland
Belgrade,Serbia
BelizeCity,Belize
Bellevue,Mauritius
Belmopan,Belize
BeloHorizonte,Brazil
Benghazi,Libya
Benguela,Angola
BeninCity,Nigeria
Berbice,Guyana
Bergamo,Italy
Berlin,Germany
Berne,Switzerland
Bielefeld,Germany
BigBend,Swaziland
Birmingham,England
Bischofshofen,Austria
Bishkek,Kyrgyzstan
Bissau,Guinea-Bissau
Bitam,Gabon
Bizerte,Tunisia
BlackRock,Barbados
Blairmont,Guyana
Blantyre,Malawi
Blida,Algeria
Blois,France
BoboDioulasso,BurkinaFaso
Bochum,Germany
Bodo,Norway
Bogota,Colombia
Bois-Guillaume,France
Bondoufle,France
Bouake,Côted'Ivoire
Boulari,NewCaledonia
Braga,Portugal
Brasilia,Brazil
Bratislava,Slovakia
Brazzaville,Congo
Breda,Netherlands
Bremen,Germany
Brest,France
Bridgetown,Barbados
Bridgeview,USA
Brisbane,Australia
Brondby,Denmark
Brussels,Belgium
Bucaramanga,Colombia
Bucharest,Romania
Budapest,Hungary
BuenosAires,Argentina
Bujumbura,Burundi
Bulawayo,Zimbabwe
Burgas,Bulgaria
Burghausen,Germany
Buriram,Thailand
Bursa,Turkey
Busan,KoreaRepublic
Bydgoszcz,Poland
Cabinda,Angola
Cadiz,Spain
Cagliari,Italy
Cairo,Egypt
Calabar,Nigeria
Calama,Chile
Calcutta,India
Cali,Colombia
CampoGrande,Brazil
Campobasso,Italy
Canberra,Canberra
Cannes,France
CapHaitien,Haiti
CapeTown,SouthAfrica
Caracas,Venezuela
Cardiff,Wales
Carson/LosAngeles,USA
Cartagena,Spain
Cary,USA
Casablanca,Morocco
Castries,St.Lucia
Catania,Italy
Celje,Slovenia
Cesena,Italy
CeskeBudejovice,CzechRepublic
Chamazi,Tanzania
Changsha,ChinaPR
Chantilly,France
Charleroi,Belgium
Charlotte,USA
CharlotteAmalie,USVirginIslands
Chateauroux,France
Chaves,Portugal
Chengdu,ChinaPR
Chennai,India
Chester,England
Chiangmai,Thailand
Chiba,Japan
Chicago,USA
Chiclayo,Peru
Chililabombwe,Zambia
Chillan,Chile
Chingola,Zambia
Chisinau,Moldova
Chittagong,SriLanka
Chonburi,Thailand
Chongqing,ChinaPR
Chorzow,Poland
Christchurch,NewZealand
CiudadDelEste,Paraguay
Clairfontaine,France
Clermont-Ferrand,France
Cleveland,USA
Cluj,Romania
Cochabamba,Bolivia
Coimbra,Portugal
Cologne,Germany
Colombes,France
Colombo,SriLanka
Colon,Panama
Columbus,USA
CommerceCity,USA
Compiegne,France
Conakry,Guinea
Concepcion,Chile
Constanta,Romania
Copenhagen,Denmark
Coquimbo,Chile
Cordoba,Argentina
Corradino,Malta
Cotonou,Benin
Couva,TrinidadandTobago
Covilha,Portugal
Craiova,Romania
Creteil,France
Cucuta,Colombia
Cuenca,Ecuador
Cuiaba,Brazil
Culiacan,Mexico
Curepipe,Mauritius
Curitiba,Brazil
Cusco,Peru
CutralCo,Argentina
Daegu,KoreaRepublic
Daejeon,KoreaRepublic
Dakar,Senegal
Dallas,USA
Damascus,Syria
Dammam,SaudiArabia
DarEsSaalam,Tanzania
DarEsSalaam,Tanzania
Debrecen,Hungary
DenHaag,Netherlands
Denizli,Turkey
Denver,USA
Derby,England
Detroit,USA
Dhaka,Bangladesh
Dieppe,France
Diriamba,Nicaragua
Djerba,Tunisia
Djibouti,Djibouti
Dnepropetrovsk,Ukraine
Doha,Qatar
Domzale,Slovenia
Donetsk,Ukraine
DöRnbirn,Austria
Dortmund,Germany
Dreux,CongoDR
Dubai,UnitedArabEmirates
Dublin,RepublicofIreland
DubnicaNadVahom,Slovakia
Duisburg,Germany
Dundo,Angola
Durban,SouthAfrica
Durres,Albania
Dushanbe,Tajikistan
DüSseldorf,Germany
EastHartford,USA
EastLondon,SouthAfrica
Edinburgh,Scotland
Edmonton,Canada
Eindhoven,Netherlands
Elche,Spain
Enschede,Netherlands
Esbjerg,Denmark
Esteli,Nicaragua
Estepona,Spain
Evora,Portugal
Evreux,France
Faro-Loule,Portugal
Faro,Portugal
Fes,Morocco
Florence,Italy
Fort-De-France,France
FortLauderdale,USA
FortPierce,USA
Fortaleza,Brazil
Foshan,ChinaPR
Foxboro/Boston,USA
Franceville,Gabon
Frankfurt/Main,Germany
Frederiksted,USVirginIslands
Freetown,SierraLeone
Freiburg,Germany
Frisco,USA
Fuerth,Germany
Fukuoka,Japan
Fullerton,USA
Gaborone,Botswana
Gama,Gama
Garoua,Cameroon
Gdansk,Poland
Gelsenkirchen,Germany
Geneva,Switzerland
Genk,Belgium
Genoa,Italy
Georgetown,Guyana
Getafe,Spain
Ghent,Belgium
Gianyar,Indonesia
Gijon,Spain
Glasgow,Scotland
Glendale,USA
Goiania,Brazil
Gomel,Belarus
Gossau,Switzerland
Gothenburg,Sweden
Gouyave,Grenada
Goyang,KoreaRepublic
Granada,Spain
GrandCayman,CaymanIslands
Graz,Austria
Greenfield-Trelawny,Jamaica
Grenoble,France
Grodno,Belarus
GrosIslet,St.Lucia
Guadalajara,Mexico
Guangzhou,ChinaPR
GuatemalaCity,Guatemala
Guayaquil,Ecuador
Guimaraes,Portugal
Guingamp,France
Guiyang,ChinaPR
Gurgaon,India
Guwahati,India
Gwangju,KoreaRepublic
GyöR,Hungary
Hamburg,Germany
Hamilton,Bermuda
Hanoi,Vietnam
Hanover,Germany
Harare,Zimbabwe
Harrison,USA
Havana,Cuba
Heerenveen,Netherlands
Hefei,ChinaPR
Helsinki,Finland
Heraklion,Greece
Heredia,CostaRica
Herning,Denmark
Hesperange,Luxembourg
Hiroshima,Japan
HoChiMinhCity,Vietnam
Hohhot,ChinaPR
Homs,Syria
HongKong,HongKong
Honiara,SolomonIslands
Houston,USA
Huelva,Spain
Hyderabad,India
Ibaraki,Japan
IloiloCity,Philippines
Incheon,KoreaRepublic
Innsbruck,Austria
Ioannina,Greece
Ipswich,England
Iquique,Chile
Iquitos,Peru
IsaTown,Bahrain
Ismailia,Egypt
Istanbul,Turkey
Izmir,Turkey
Izmit,Turkey
Jablonec,CzechRepublic
Jaffna,SriLanka
Jakarta,Indonesia
Jeddah,SaudiArabia
Jeju,KoreaRepublic
Jeonju,KoreaRepublic
JerezDeLaFrontera,Spain
Jerusalem,Israel
Jinan,ChinaPR
Jinja,Uganda
Johannesburg,SouthAfrica
JohorBahru,Malaysia
Jounieh,Lebanon
Juarez,Mexico
Jujuy,Argentina
Jurmala,Latvia
Kabul,Afghanistan
Kaduna,Nigeria
Kaiserslautern,Germany
Kalutara,SriLanka
Kampala,Uganda
Kano,Nigeria
KansasCity,USA
Kaohsiung,ChineseTaipei
Karachi,Pakistan
Kassala,Sudan
Kathmandu,Nepal
Katutura,Namibia
Kaunas,Lithuania
Kayes,Mali
Kayseri,Turkey
Keetmanshoop,Namibia
KelanaJaya,Malaysia
Kennesaw,USA
Kerkrade,Netherlands
Kharkov,Ukraine
Khartoum,Sudan
KhujandCity,Tajikistan
Kielce,Poland
Kigali,Rwanda
Kimberley,SouthAfrica
Kingston,Jamaica
Kingston(Ontario),Canada
Kingstown,St.Vincent/Grenadines
Kinshasa,CongoDR
Kisumu,Kenya
Kitwe,Zambia
Klagenfurt,Austria
Kobe,Japan
Kochin,India
Kone,NewCaledonia
Kopavogur,Iceland
Koper,Slovenia
Korce,Albania
KotaBahru,Malaysia
Krakow,Poland
Krasnodar,Russia
Krefeld,Germany
Krusevac,SerbiaandMontenegro
KualaLumpur,Malaysia
Kuantan,Malaysia
Kufstein,Austria
Kumamoto,Japan
Kumasi,Ghana
Kunming,ChinaPR
KunshanCity,ChinaPR
Kuressaare,Estonia
Kurunegala,SriLanka
KuwaitCity,Kuwait
Kyiv,Ukraine
LaCalera,Chile
LaCeiba,Honduras
LaChorrera,Panama
LaCoru?A,Spain
LaCourneuve,France
LaManga,Spain
LaPaz,Bolivia
LaPlata,Argentina
LaSerena,Chile
Labasa,Fiji
Lagos,Nigeria
Lahore,Pakistan
Lankaran,Azerbaijan
Larissa,Greece
Larnaca,Cyprus
LasPalmasGc,Spain
Latacunga,Ecuador
Lausanne,Switzerland
Lautoka,Fiji
LeMans,France
LePetit-Quevilly,France
LeTouquet,France
Lecce,Italy
Leeds,England
Leicester,England
Leipzig,Germany
Leiria,Portugal
Lens,France
Leon(Esp),Spain
Leverkusen,Germany
Liberec,CzechRepublic
Libreville,Gabon
Liege,Belgium
Lifou,NewCaledonia
Lilongwe,Malawi
Lima,Peru
Limassol,Cyprus
Limerick,RepublicofIreland
Linden,Guyana
Linz,Austria
Lisbon,Portugal
Liverpool,England
Livorno,Italy
Ljubliana,Slovenia
Ljubljana,Slovenia
Llanelli,Wales
Lobamba,Swaziland
Lobatse,Botswana
Lodz,Poland
Logrono,Spain
Loja,Ecuador
Lome,Togo
London,England
Longjumeau,France
LosAngeles,USA
Loule,Portugal
Luanda,Angola
Lubango,Angola
Lubin,Poland
Lubumbashi,CongoDR
Lugano,Switzerland
Luque,Paraguay
Lusaka,Zambia
Luxembourg,Luxembourg
Lviv,Ukraine
Lyon,France
Macau,Macau
Maceio,Brazil
Macoya,TrinidadandTobago
Madrid,Spain
Mahajanga,Madagascar
Mainz,Germany
Malabo,EquatorialGuinea
Malaga,Spain
Male,Maldives
Malmö,Sweden
Managua,Nicaragua
Manama,Bahrain
Manaus,Brazil
Manchester,England
ManenggonHills,Guam
Mangaung/Bloemfontein,SouthAfrica
Manila,Philippines
Mantes-La-Jolie,France
Mantes-La-Ville,France
Manzini,Swaziland
Maputo,Mozambique
MarDelPlata,Argentina
Marabella,TrinidadandTobago
Maracaibo,Venezuela
Maracay,Venezuela
Margao,India
Maribor,Slovenia
Marignane,France
Marijampole,Lithuania
Marrakech,Morocco
Marseilles,France
Maseru,Lesotho
Masvingo,Zimbabwe
Matsumoto,Japan
Maturin,Venezuela
Maun,Botswana
Mayagüez,PuertoRico
Mazatenango,Guatemala
Medellin,Colombia
Meknes,Morocco
Melbourne,Australia
Melun,France
Mendoza,Chile
Merida,Venezuela
Messina,Italy
Metz,France
MexicoCity,Mexico
Mhlume,Swaziland
Miami,USA
MiamiGardens,USA
Middlesbrough,England
Milan,Italy
MiltonKeynes,England
Minsk,Belarus
Misurata,Libya
Mitsamiouli,Comoros
Miyagi,Japan
Mmabatho,SouthAfrica
Moanda,Gabon
Modena,Italy
Moenchengladbach,Germany
Monastir,Tunisia
Monrovia,Liberia
MonteCarlo,France
Montecatini,Italy
MontegoBay,Jamaica
MontereyPark,USA
Monterrey,Mexico
Montevideo,Uruguay
Montpellier,France
Montreal,Canada
Mopti,Mali
Moquegua,Peru
Morogoro,Tanzania
Moscow,Russia
Mumias,Kenya
Munich,Germany
Murcia,Spain
MurskaSobota,Slovenia
Muscat,Oman
Mutare,Zimbabwe
Mwanza,Tanzania
Mzuzu,Malawi
N'Djamena,Chad
Nairobi,Kenya
NakhonRatchasima,Thailand
NamDinh,Vietnam
Nanjing,ChinaPR
Nanning,ChinaPR
Nanterre,France
Nantes,France
Naples,Italy
Narbonne,France
Nashville,USA
Nassau,Bahamas
Navua,Fiji
NelsonMandelaBay/PortElizabeth,SouthAfrica
Nelspruit,SouthAfrica
NewBritain,USA
NewDelhi,India
NewYork,USA
NewYork/NewJersey,USA
Newcastle,England
Niamey,Niger
Nice,France
Nicosia,Cyprus
Niigata,Japan
Nijmegen,Netherlands
Nizwa,Oman
Nonthaburi,Thailand
NorrköPing,Sweden
Nouakchott,Mauritania
Noumea,NewCaledonia
NovaGorica,Slovenia
Nuremberg,Germany
Nyon,Switzerland
Oakland,USA
Obidos,Portugal
Odense,Denmark
Odessa,Ukraine
Offenbach/Main,Germany
Oita,Japan
Olhao,Portugal
Olomouc,CzechRepublic
Omdurman,Sudan
Oran,Algeria
Oranjestad,Aruba
Orapa,Botswana
Osaka,Japan
Osijek,Croatia
Oslo,Norway
Osorno,Chile
Ostrowiec,Poland
Ouagadougou,BurkinaFaso
Oviedo,Spain
Oxnard,USA
Pachuca,Mexico
Padova,Italy
Paju,KoreaRepublic
Palembang,Indonesia
Palermo,Italy
PalmaDeMallorca,Spain
PanamaCity,Panama
Paola,Italy
Papeete,Tahiti
Paphos,Cyprus
Paralimni,Cyprus
Paramaribo,Suriname
Paris,France
Paris/Colombes,France
Paris/Saint-Denis,France
Parma,Italy
Paroi,Malaysia
Pasadena,USA
Patra,Greece
Patras,Greece
Paynesville,Liberia
Pecs,Hungary
Penang,Malaysia
Peralada,Spain
Pereira,Colombia
Pernis,Netherlands
Perth,Australia
Pescara,Italy
Peshawar,Pakistan
Petah-Tikva,Israel
PetalingJaya,Malaysia
PhangNga,Thailand
Philadelphia,USA
PhnomPenh,Cambodia
Phoenix,USA
Phuket,Thailand
Piatra-Neamt,Romania
Pinang,Malaysia
Piraeus,Greece
Pisa,Italy
Piura,Peru
Plock,Poland
Ploesti,Romania
Plymouth,Montserrat
Podgorica,Montenegro
PointeNoire,Congo
Pokhara,Nepal
Polokwane,SouthAfrica
PontaDelgada,Portugal
Port-Au-Prince,Haiti
Port-Gentil,Gabon
PortElizabeth,SouthAfrica
PortHarcourt,Nigeria
PortLouis,Mauritius
PortMoresby,PapuaNewGuinea
PortOfSpain,TrinidadandTobago
PortSaid,Egypt
PortVila,Vanuatu
Portimao,Portugal
Porto,Portugal
PortoAlegre,Brazil
PortoNovo,Benin
Poznan,Poland
Prague,CzechRepublic
Praia,CapeVerdeIslands
Praslin,St.Lucia
Presov,Slovakia
Pretoria,SouthAfrica
Prilep,FYRMacedonia
Prospect,Bermuda
Providenciales,TurksandCaicosIslands
Puchov,Slovakia
Puebla,Mexico
PuertoLaCruz,Venezuela
PuertoOrdaz,Venezuela
Pula,Croatia
Pune,India
Pyongyang,KoreaDPR
Qarshi,Uzbekistan
Qinhuangdao,ChinaPR
Queretaro,Mexico
Quesada,CostaRica
Quetta,Pakistan
Quito,Ecuador
Rabat,Morocco
Rades,Tunisia
Rancagua,Chile
Reading,England
Recife,Brazil
ReggioCalabria,Italy
Rennes,France
Resistencia,Argentina
Reutlingen,Germany
Reykjavik,Iceland
Rhodos,Greece
Richmond,USA
Riga,Latvia
Rijeka,Croatia
RioDeJaneiro,Brazil
Rivera,Uruguay
Riviere-Pilote,France
Riyadh,SaudiArabia
RoadTown,BritishVirginIslands
RocheCaiman,Seychelles
Rome,Italy
Roodepoort,SouthAfrica
Rosario,Argentina
Roseau,Dominica
Rostock,Germany
Rotterdam,Netherlands
Rouen,France
Rustenburg,SouthAfrica
Safat,Kuwait
Saida,Lebanon
Saint-Denis,France
Saint-Leu-La-For?T,France
Saint-Marc,Haiti
Saint-Martin,France
Saint-Pierre,France
Sainte-Maxime,France
Saitama,Japan
Sal,CapeVerdeIslands
Salalah,Oman
Salamanca,Spain
Salerno,Italy
SaltLakeCity,USA
Salta,Argentina
Salvador,Brazil
Salzburg,Austria
SanAntonio,USA
SanCarlos,CostaRica
SanCristobal,Venezuela
SanDiego,USA
SanFernando,Spain
SanFrancisco,USA
SanIgnacio,Belize
SanJose,CostaRica
SanJose(Crc),CostaRica
SanJose(Usa),USA
SanJuan,Argentina
SanLuisPotosi,Mexico
SanNicolasDeLosGarza,Mexico
SanPedroSula,Honduras
SanSalvador,ElSalvador
Sana'A,Yemen
Sandy,USA
SannoisSaint-Gratien,France
SantaAna,USA
SantaCruz,Bolivia
SantaFe,Argentina
Santander,Spain
SantiagoDeChile,Chile
SantoDomingo,DominicanRepublic
SaoPaulo,Brazil
SaoTome,SaoTomeePrincipe
Sapporo,Japan
Sarajevo,Bosnia-Herzegovina
Scarborough,England
Schwaz,Austria
Seattle,USA
Secunda,SouthAfrica
Sedan,France
Seeb,Oman
Seekirchen,Austria
Segou,Mali
Sekondi,Ghana
Selibe-Phikwe,Botswana
Sendai,Japan
Senlis,France
Seoul,KoreaRepublic
Serravalle,SanMarino
Seville,Spain
Sfax,Tunisia
Shanghai,ChinaPR
Sharjah,UnitedArabEmirates
Shenyang,ChinaPR
Shenzhen,ChinaPR
Shizuoka,Japan
Shkoder,Albania
Shymkent,Kazakhstan
Sibenik,Croatia
Siena,Italy
Sikasso,Mali
Singapore,Singapore
Sinsheim,Germany
Sion,Switzerland
Sittard,Netherlands
Skopje,FYRMacedonia
Smederevo,Yugoslavia
Sochaux,France
Sofia,Bulgaria
Solna,Sweden
Soreang,Indonesia
Sousse,Tunisia
Southampton,England
Split,Croatia
St.Etienne,France
St.Gall,Switzerland
St.George's,Grenada
St.John's,AntiguaandBarbuda
St.Petersburg,Russia
St.VeitAnDerGlan,Austria
Strumica,FYRMacedonia
Stuttgart,Germany
Suez,Egypt
Sulaymaniyah,Iraq
Sunderland,England
Sunrise,USA
Surabaya,Indonesia
Surakarta,Indonesia
Suva,Fiji
Suwon,KoreaRepublic
Suzhou,ChinaPR
Swansea,Wales
Swaziland,Swaziland
Sydney,Australia
Szczecin,Poland
Szekesfehervar,Hungary
Ta'Qali,Malta
Tabriz,Iran
Tacna,Peru
Taipei,ChineseTaipei
Talca,Chile
Tallinn,Estonia
Tamale,Ghana
Tampa,USA
Tampere,Finland
Tanger,Morocco
Tashkent,Uzbekistan
Taunusstein-Wehen,Germany
Tbilisi,Georgia
Tegucigalpa,Honduras
Tehran,Iran
TelAviv,Israel
Temuco,Chile
Teplice,CzechRepublic
Tete,Tete
TheValley,Anguilla
Thessaloniki,Greece
Thimphu,Bhutan
Thonon-Les-Bains,France
Thulamahashe,SouthAfrica
Tianjin,ChinaPR
Timisoara,Romania
Tirana,Albania
Tiraspol,Moldova
Toftir,FaroeIslands
Tokyo,Japan
Toronto,Canada
Torreon,Mexico
Torshavn,FaroeIslands
Tortola,BritishVirginIslands
Tottori,Japan
Toulon,France
Toulouse,France
Tours,France
Toyota,Japan
Trabzon,Turkey
Trieste,Italy
Tripoli,Libya
Tripoli(Lib),Libya
Trnava,Slovakia
Trujillo,Peru
Tshwane/Pretoria,SouthAfrica
Tunis,Tunisia
Turin,Italy
Turku,Finland
Tursunzade,Tajikistan
TuxtlaGutierrez,Mexico
Udine,Italy
UherskeHradiste,CzechRepublic
Ulaan-Baatar,Mongolia
Ulm,Germany
Ulsan,KoreaRepublic
Urziceni,Romania
Utrecht,Netherlands
Vaduz,Liechtenstein
Valence,France
Valencia,Spain
Valga,Estonia
Valladolid,Spain
Valparaiso,Chile
Vancouver,Canada
Vantaa,Finland
Varazdin,Croatia
Veitongo,Tonga
Victoria(Sey),Seychelles
Vienna,Austria
Vientiane,Laos
VieuxFort,St.Lucia
VilaRealSt.Antonio,Portugal
Villach,Austria
Villarreal,Spain
Vilnius,Lithuania
VinaDelMar,Chile
Vinkovci,Croatia
Viry-Chatillon,France
Viseu,Portugal
Vittel,France
Volgograd,Russia
Volos,Greece
Voronezh,Russia
Wakayama,Japan
Warri,Nigeria
Warsaw,Poland
WashingtonDc,USA
Watford,England
Wattens,Austria
Wellington,NewZealand
WestBromwich,England
WestPalmBeach,USA
Wiesbaden,Germany
Willemstad,NetherlandsAntilles
Windhoek,Namibia
Winterthur,Switzerland
Witbank,SouthAfrica
Wolfsburg,Germany
Wolverhampton,England
Wrexham,Wales
Wroclaw,Poland
Wronki,Poland
Wuhan,ChinaPR
Yangon,Myanmar
Yaounde,Cameroon
Yerevan,Armenia
Yokohama,Japan
Zagreb,Croatia
Zalaegerszeg,Hungary
Zaragoza,Spain
Zarqa,Jordan
Zawyan,Libya
ZellAmSee,Austria
Zenica,Bosnia-Herzegovina
Zheijang,ChinaPR
Zhengzhou,ChinaPR
Zhongshan,ChinaPR
Zhuhai,ChinaPR
Zilina,Slovakia
Zurich,Switzerland